,userId,movieId,rating,ratings_timestamp,tag,tags_timestamp
0,2,60756,5.0,1445714980,will ferrell,1445714992
1,2,60756,5.0,1445714980,Highly quotable,1445714996
2,2,60756,5.0,1445714980,funny,1445714994
3,2,89774,5.0,1445715189,Tom Hardy,1445715205
4,2,89774,5.0,1445715189,MMA,1445715200
5,2,89774,5.0,1445715189,Boxing story,1445715207
6,2,106782,5.0,1445714966,Martin Scorsese,1445715056
7,2,106782,5.0,1445714966,Leonardo DiCaprio,1445715051
8,2,106782,5.0,1445714966,drugs,1445715054
9,7,48516,1.0,1169687318,way too long,1169687325
10,18,431,4.0,1462138790,mafia,1462138755
11,18,431,4.0,1462138790,gangster,1462138749
12,18,431,4.0,1462138790,Al Pacino,1462138765
13,18,1221,5.0,1460242083,Mafia,1461699303
14,18,1221,5.0,1460242083,Al Pacino,1461699306
15,18,5995,4.5,1455735416,true story,1455735479
16,18,5995,4.5,1455735416,holocaust,1455735472
17,18,44665,4.5,1455049870,twist ending,1456948283
18,18,52604,4.5,1457650649,twist ending,1457650682
19,18,52604,4.5,1457650649,courtroom drama,1457650711
20,18,52604,4.5,1457650649,Anthony Hopkins,1457650696
21,18,88094,3.0,1457352482,music,1457444609
22,18,88094,3.0,1457352482,indie record label,1457444592
23,18,88094,3.0,1457352482,britpop,1457444500
24,18,144210,4.0,1455060282,Sustainability,1455060452
25,18,144210,4.0,1455060282,dumpster diving,1455060381
26,21,119141,0.5,1419793939,bloody,1419793962
27,49,109487,4.5,1493093231,time-travel,1493093356
28,49,109487,4.5,1493093231,sci-fi,1493093332
29,49,109487,4.5,1493093231,black hole,1493093306
30,62,2,4.0,1528843890,Robin Williams,1528843907
31,62,2,4.0,1528843890,magic board game,1528843932
32,62,2,4.0,1528843890,fantasy,1528843929
33,62,110,4.5,1521822303,sword fight,1528152535
34,62,110,4.5,1521822303,revenge,1528152531
35,62,110,4.5,1521822303,Oscar (Best Cinematography),1528152539
36,62,110,4.5,1521822303,mel gibson,1528152521
37,62,110,4.5,1521822303,Medieval,1528152528
38,62,110,4.5,1521822303,inspirational,1528152527
39,62,110,4.5,1521822303,historical,1528152523
40,62,110,4.5,1521822303,epic,1528152532
41,62,110,4.5,1521822303,beautiful scenery,1528152541
42,62,410,4.5,1525636601,gothic,1525636609
43,62,410,4.5,1525636601,family,1525636708
44,62,410,4.5,1525636601,dark comedy,1525636610
45,62,410,4.5,1525636601,Christopher Lloyd,1525636622
46,62,410,4.5,1525636601,Christina Ricci,1525636685
47,62,410,4.5,1525636601,black comedy,1525636607
48,62,2023,5.0,1525636725,mafia,1525636733
49,62,2023,5.0,1525636725,Francis Ford Coppola,1525636752
50,62,2023,5.0,1525636725,Classic,1525636752
51,62,2023,5.0,1525636725,Andy Garcia,1525636768
52,62,2023,5.0,1525636725,Al Pacino,1525636728
53,62,2124,5.0,1525636840,quirky,1525636846
54,62,2124,5.0,1525636840,gothic,1525636849
55,62,2124,5.0,1525636840,Family,1525636855
56,62,2124,5.0,1525636840,Christopher Lloyd,1525636859
57,62,2124,5.0,1525636840,Christina Ricci,1525636867
58,62,2124,5.0,1525636840,black comedy,1525636847
59,62,2953,3.5,1525636880,sequel,1525636887
60,62,2953,3.5,1525636880,Macaulay Culkin,1525636890
61,62,2953,3.5,1525636880,funny,1525636885
62,62,2953,3.5,1525636880,family,1525636883
63,62,3114,3.0,1525636897,Tom Hanks,1525636925
64,62,3114,3.0,1525636897,sequel,1525636910
